teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
56,Drew University,Men,Team,0.9167,0.3125,0,30.75,41.25,55,28.1875,12.8906,0,2.5,43.5781
54,Haverford College,Men,Epee,0.8333,0.4444,0.3125,31.5,42.2222,59.2857,26.25,18.7654,18.5268,4,67.5422
54,Haverford College,Men,Foil,0.8571,0.7,0.2857,30.4286,38.8,58.3333,26.0816,27.16,16.6667,4,73.9083
54,Haverford College,Men,Sabre,0.2727,0.25,0,31.6364,41,61.4286,8.6281,0,0,1.5,10.1281
54,Haverford College,Men,Team,0.8571,0.5,0,31.7143,40.4,56.6667,27.1837,20.2,0,3,50.3837
79,Yale University,Men,Epee,0.875,0.875,0.4167,29.25,41.5,63,25.5938,36.3125,26.25,4,92.1563
79,Yale University,Men,Foil,0.875,0.875,0.5,30,40.5,65,26.25,35.4375,32.5,4.5,98.6875
79,Yale University,Men,Sabre,0.875,0.875,0.8,30.5,40.5,63.75,26.6875,35.4375,51,4,117.125
79,Yale University,Men,Team,0.9,0.9,0.6667,30,40.8,61.4286,27,36.72,40.9524,4,108.6724
12,Harvard University,Women,Epee,0.75,0.75,0.6667,30,40,64.6154,22.5,30,43.0769,6.5,102.0769
12,Harvard University,Women,Foil,0.8571,0.8571,0.6667,30,41.1429,67,25.7143,35.2653,44.6667,6.5,112.1463
12,Harvard University,Women,Sabre,0.8333,0.8333,0.6667,29.25,40.6667,67,24.375,33.8889,44.6667,6,108.9306
12,Harvard University,Women,Team,0.8333,0.8333,0.6154,30,40.6667,68.1818,25,33.8889,41.958,6.5,107.3469
1,Cornell University,Women,Epee,0.8333,0.8333,0.6429,27.8182,40.6667,51.6667,23.1818,33.8889,33.2143,5,95.285
1,Cornell University,Women,Foil,0.9286,0.75,0.5556,29.5714,42,60,27.4592,31.5,33.3333,5,97.2925
1,Cornell University,Women,Sabre,0.9091,0.8182,0.4444,24.5455,40,55.7143,22.314,32.7273,24.7619,5.5,85.3032
1,Cornell University,Women,Team,0.9091,0.8182,0.5556,27.5455,41.0909,58.5714,25.0413,33.6198,32.5397,5,96.2008
55,Harvard University,Men,Epee,0.75,0.75,0.4375,30,42,62.1429,22.5,31.5,27.1875,5,86.1875
55,Harvard University,Men,Foil,0.75,0.3333,0.25,30,41.3333,62.1429,22.5,13.7778,15.5357,5.5,57.3135
55,Harvard University,Men,Sabre,0.8,0.8,0.8,30.75,40,63.0769,24.6,32,50.4615,5,112.0615
55,Harvard University,Men,Team,0.6667,0.5625,0.5625,30,40,60.7143,20,22.5,34.1518,5,81.6518
38,The City College of New York,Women,Sabre,0,0,0,30,40,0,0,0,0,1,1
38,The City College of New York,Women,Foil,0,0,0,30,40,0,0,0,0,1,1
38,The City College of New York,Women,Epee,0,0,0,30,40,0,0,0,0,1,1
38,The City College of New York,Women,Team,0,0,0,30,40,0,0,0,0,1,1
